brokertitle,type,beds,bath,propertysqft,administrative_area_level_2,latitude,longitude,status,borough,bed_bath_ratio,price
Brokered by COMPASS,Condo for sale,1.3862943611198906,1.3862943611198906,7.85748078694253,New York,40.7142326,-74.0075258,Pending,Manhattan,0.6931471805599453,15.250595321348806
Brokered by COMPASS,Co-op for sale,1.3862943611198906,0.6931471805599453,7.6894662343551055,New York,40.7383084,-74.0046097,Pending,Manhattan,1.3862943611198906,13.07107218827772
other,House for sale,1.791759469228055,1.6094379124341003,8.071218539969863,United States,40.5883964,-73.7934995,Pending,Queens,0.8109302162163288,14.22030944419592
other,Co-op for sale,0.6931471805599453,0.6931471805599453,7.6894662343551055,United States,40.6013587,-74.0073583,Pending,Brooklyn,0.6931471805599453,12.601490784782536
Brokered by EXP Realty,House for sale,1.791759469228055,1.0986122886681098,8.31898612539206,United States,40.7107701,-73.8406935,Pending,Queens,1.252762968495368,14.731401609977073
other,House for sale,1.0986122886681098,1.0986122886681098,6.8966943316227125,United States,40.8285177,-73.8155198,Pending,Bronx,0.6931471805599453,13.049794835104816
other,Condo for sale,1.0986122886681098,1.0986122886681098,7.280008252884188,New York,40.764655,-73.994257,Pending,Manhattan,0.6931471805599453,14.628660974377798
other,Land for sale,1.3862943611198906,1.0986122886681098,7.6894662343551055,United States,40.8453241,-73.8684042,Pending,Bronx,0.9162907318741551,12.429220196836383
other,House for sale,1.791759469228055,1.0986122886681098,7.6894662343551055,United States,40.7886657,-73.8207928,Pending,Queens,1.252762968495368,14.06860196204365
other,House for sale,2.0794415416798357,1.6094379124341003,7.937731775260109,United States,40.6049921,-73.9106532,Pending,Brooklyn,1.0116009116784799,14.456838516387228
other,Co-op for sale,0.6931471805599453,0.6931471805599453,6.621405651764134,New York,40.6491203,-73.9440658,Pending,Brooklyn,0.6931471805599453,12.464587201678082
other,Condo for sale,1.3862943611198906,0.6931471805599453,6.234410725718371,New York,40.7478487,-73.9775903,Pending,Manhattan,1.3862943611198906,13.199326270390594
Brokered by Corcoran East Side,Co-op for sale,1.0986122886681098,1.0986122886681098,7.0909098220799835,New York,40.773416,-73.979787,Pending,Manhattan,0.6931471805599453,14.506155109559108
other,House for sale,1.3862943611198906,1.0986122886681098,7.6894662343551055,United States,40.6628113,-73.8453503,Pending,Queens,0.9162907318741551,13.217675375388819
Brokered by EXP Realty,Co-op for sale,1.3862943611198906,0.6931471805599453,6.100318952020064,New York,40.711337,-73.789277,Pending,Queens,1.3862943611198906,11.51293546492023
other,Multi-family home for sale,1.0986122886681098,0.6931471805599453,7.892078421248119,United States,40.6330311,-74.1301207,Pending,Staten Island,1.0986122886681098,13.41354083387756
other,Condo for sale,1.3862943611198906,0.6931471805599453,6.836259277277067,New York,40.7259961,-73.9393987,Pending,Brooklyn,1.3862943611198906,13.804450621726684
other,House for sale,1.3862943611198906,1.0986122886681098,6.996681488176539,United States,40.6038744,-74.0739123,Pending,Staten Island,0.9162907318741551,13.909912143303451
Brokered by RE MAX Edge,Co-op for sale,1.0986122886681098,1.0986122886681098,7.00397413672268,New York,40.6123382,-74.0356075,Pending,Brooklyn,0.6931471805599453,13.112315061750808
Brokered by Sowae Corp,House for sale,1.6094379124341003,1.0986122886681098,7.591357046698551,United States,40.665357,-73.8770867,Pending,Brooklyn,1.0986122886681098,12.899222326086994
other,Co-op for sale,2.1972245773362196,1.9459101490553132,8.732465848349879,United States,40.62481,-73.9539607,Pending,Brooklyn,0.8472978603872036,15.163583966004193
other,House for sale,1.791759469228055,1.6094379124341003,7.6894662343551055,United States,40.7399679,-73.826261,Pending,Queens,0.8109302162163288,14.169683073439028
other,Townhouse for sale,1.0986122886681098,1.0986122886681098,7.050122520269059,United States,40.7259203,-73.8814296,Pending,Queens,0.6931471805599453,13.673948145715556
other,Co-op for sale,0.6931471805599453,0.6931471805599453,6.432940092739179,United States,40.7986579,-73.9679035,Pending,Manhattan,0.6931471805599453,13.76421831620775
Brokered by RE MAX Edge,Multi-family home for sale,1.3862943611198906,1.3862943611198906,7.83241092718792,United States,40.5994335,-73.9458671,Pending,Brooklyn,0.6931471805599453,13.94566212039206
other,House for sale,1.6094379124341003,1.0986122886681098,7.8636512654486515,United States,40.5908362,-74.1019957,Pending,Staten Island,1.0986122886681098,14.508158113732536
