brokertitle_Brokered by Brown Harris Stevens,brokertitle_Brokered by COMPASS,brokertitle_Brokered by Corcoran Brooklyn Heights,brokertitle_Brokered by Corcoran Chelsea/Flatiron,brokertitle_Brokered by Corcoran East Side,brokertitle_Brokered by Corcoran Park Avenue South,brokertitle_Brokered by Corcoran Park Slope,brokertitle_Brokered by Douglas Elliman  -111 Fifth Ave,brokertitle_Brokered by Douglas Elliman - 575 Madison Ave,brokertitle_Brokered by E Realty International Corp,brokertitle_Brokered by EXP Realty,brokertitle_Brokered by Exp Realty,brokertitle_Brokered by KELLER WILLIAMS REALTY LANDMARK II,brokertitle_Brokered by Keller Williams NYC,brokertitle_Brokered by Keller Williams Rlty Landmark,brokertitle_Brokered by RE MAX Edge,brokertitle_Brokered by RE MAX Real Estate Professionals,brokertitle_Brokered by Serhant,brokertitle_Brokered by Sotheby's International Realty - Downtown Manhattan,brokertitle_Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,brokertitle_Brokered by Sowae Corp,brokertitle_Brokered by Winzone Realty Inc,brokertitle_NoBroker,brokertitle_other,type_Co-op for sale,type_Condo for sale,type_House for sale,type_Land for sale,type_Multi-family home for sale,type_Townhouse for sale,administrative_area_level_2_10002,administrative_area_level_2_10003,administrative_area_level_2_10017,administrative_area_level_2_10301,administrative_area_level_2_10303,administrative_area_level_2_10304,administrative_area_level_2_10306,administrative_area_level_2_10309,administrative_area_level_2_10310,administrative_area_level_2_10312,administrative_area_level_2_10463,administrative_area_level_2_10465,administrative_area_level_2_10466,administrative_area_level_2_10471,administrative_area_level_2_11214,administrative_area_level_2_11218,administrative_area_level_2_11229,administrative_area_level_2_11237,administrative_area_level_2_11417,administrative_area_level_2_Bronx County,administrative_area_level_2_Brooklyn,administrative_area_level_2_Kings County,administrative_area_level_2_New York,administrative_area_level_2_New York County,administrative_area_level_2_Queens County,administrative_area_level_2_United States,status_Contingent,status_Foreclosure,status_Pending,borough_Bronx,borough_Brooklyn,borough_Manhattan,borough_Queens,borough_Staten Island,beds,bath,propertysqft,latitude,longitude,bed_bath_ratio,price
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4368292053736754,0.0,0.3082619139406793,1.2233570256304922,0.35646205464703323,0.44966028678679154,14.282384921160133
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1398488837656208,1.2460591058860864,0.9668290247129684,0.0,13.429849547739444
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.41503749927884365,0.28069961183574715,-0.0951316921085727,-0.5134987866947722,-0.5503397132132085,15.250595321348806
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5849625007211564,0.0,0.08834903695826106,-0.4879527993622628,1.1591715781382457,13.07107218827772
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7937446542303997,0.7369655941662059,0.6377883484093185,-1.0541244449558993,1.361441424078803,-0.25985100456466326,14.22030944419592
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.3569154488567245,-0.5849625007211564,0.0,-0.9553392642191091,-0.5120314320505797,-0.5503397132132085,12.601490784782536
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7937446542303997,0.0,1.0517302598833418,-0.12151926902792046,0.9480065877654312,0.8298426421724393,14.731401609977073
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.5631707946263246,0.0,-1.3244731598798767,0.7758305799437217,1.1685364122960789,-0.5503397132132085,13.049794835104816
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.5631707946263246,0.0,-0.6840758415978899,0.28913544390764195,-0.3972597699538545,-0.5503397132132085,14.628660974377798
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9039114962575739,0.7052518155776984,0.0,12.429220196836383
