brokertitle,type,beds,bath,propertysqft,administrative_area_level_2,latitude,longitude,price,status,borough,bed_bath_ratio
other,Co-op for sale,4,2,2184.207862,New York,40.7129113,-73.9781415,1995000,Pending,Manhattan,2.0
other,Co-op for sale,1,1,2184.207862,New York,40.776554,-73.9876401,695000,Pending,Manhattan,1.0
other,Townhouse for sale,8,4,3900.0,United States,40.6616741,-73.985673,2550000,Pending,Brooklyn,2.0
Brokered by COMPASS,Townhouse for sale,6,2,8300.0,United States,40.7326368,-73.998918,19995000,Pending,Manhattan,3.0
other,House for sale,8,3,2184.207862,United States,40.658346,-73.9583816,1649000,Pending,Brooklyn,2.6666666666666665
Brokered by Corcoran Park Slope,Multi-family home for sale,5,6,2184.207862,United States,40.6912637,-73.9696573,4800000,Pending,Brooklyn,0.8333333333333334
Brokered by COMPASS,Co-op for sale,2,1,2184.207862,United States,40.7308084,-73.7400835,279000,Pending,Queens,2.0
Brokered by E Realty International Corp,Multi-family home for sale,5,3,1026.0,United States,40.6240315,-73.9954118,1138000,Pending,Brooklyn,1.6666666666666667
other,House for sale,3,2,2184.207862,United States,40.6808451,-73.7952952,686000,Pending,Queens,1.5
other,Co-op for sale,1,1,2184.207862,New York,40.7546656,-73.9675207,679000,Pending,Manhattan,1.0
Brokered by COMPASS,Co-op for sale,3,3,2195.0,New York,40.7904197,-73.966175,2200000,Pending,Manhattan,1.0
other,House for sale,3,2,1500.0,United States,40.6785308,-73.8130811,699000,Pending,Queens,1.5
Brokered by Corcoran Chelsea/Flatiron,Condo for sale,4,4,3844.0,United States,40.7377131,-74.0087585,13000000,Pending,Manhattan,1.0
other,House for sale,3,2,1221.0,United States,40.653784,-73.8286059,550000,Pending,Queens,1.5
other,House for sale,3,4,1672.0,United States,40.6069525,-74.1016936,1288888,Pending,Staten Island,0.75
Brokered by Winzone Realty Inc,House for sale,4,3,2184.207862,United States,40.7848355,-73.8276854,1290000,Pending,Queens,1.3333333333333333
Brokered by COMPASS,Co-op for sale,1,1,2184.207862,New York,40.6419847,-73.9614428,539000,Pending,Brooklyn,1.0
Brokered by Corcoran East Side,Condo for sale,2,2,1600.0,New York,40.7603031,-73.9610497,2095000,Pending,Manhattan,1.0
Brokered by E Realty International Corp,Multi-family home for sale,9,2,2350.0,United States,40.7832094,-73.7967588,2880000,Pending,Queens,4.5
other,House for sale,3,2,1088.0,United States,40.5787747,-73.9401956,1190000,Pending,Brooklyn,1.5
other,Co-op for sale,1,1,2184.207862,New York,40.7505078,-73.8851355,294500,Pending,Queens,1.0
other,Multi-family home for sale,3,2,2194.0,United States,40.8467388,-73.8189548,850000,Pending,Bronx,1.5
other,Condo for sale,1,1,958.0,New York,40.7494499,-73.8778676,599000,Pending,Queens,1.0
other,Condo for sale,3,3,1756.0,New York,40.7961886,-73.949116,3700000,Pending,Manhattan,1.0
other,Condo for sale,3,2,1744.0,New York,40.7735704,-73.9461541,2449000,Pending,Manhattan,1.5
