brokertitle,type,beds,bath,propertysqft,administrative_area_level_2,latitude,longitude,price,status,borough,bed_bath_ratio
Brokered by Brown Harris Stevens,Condo for sale,2,2,903.0,New York,40.816711,-73.94205,945000,Pending,Manhattan,1.0
Brokered by RE MAX Edge,Multi-family home for sale,3,3,2646.0,United States,40.5786954,-73.9626508,850000,Pending,Brooklyn,1.0
Brokered by KELLER WILLIAMS REALTY LANDMARK II,Co-op for sale,1,1,2184.207862,New York,40.798979,-73.9509758,350777,Pending,Manhattan,1.0
Brokered by E Realty International Corp,Condo for sale,2,2,950.0,New York,40.7440024,-73.8353772,580000,Pending,Queens,1.0
other,Condo for sale,1,2,2184.207862,United States,40.7841619,-73.8570221,580000,Pending,Queens,0.5
other,Condo for sale,2,2,970.0,New York,40.7376925,-73.8803546,660000,Pending,Queens,1.0
Brokered by COMPASS,Co-op for sale,1,2,2184.207862,New York,40.7595774,-73.964779,330000,Pending,Manhattan,0.5
other,Co-op for sale,3,2,1200.0,New York,40.8819273,-73.9172822,469900,Pending,Bronx,1.5
other,Condo for sale,2,2,705.0,New York,40.7494499,-73.8778676,599000,Pending,Queens,1.0
Brokered by KELLER WILLIAMS REALTY LANDMARK II,House for sale,3,2,1260.0,United States,40.7292895,-73.8945367,897888,Pending,Queens,1.5
other,Townhouse for sale,10,10,6532.0,United States,40.7385972,-73.9951773,10750000,Pending,Manhattan,1.0
other,Co-op for sale,2,2,850.0,United States,40.6864817,-73.9334333,799000,Pending,Brooklyn,1.0
other,Multi-family home for sale,4,2,2184.207862,United States,40.7283735,-73.7970194,1398000,Pending,Queens,2.0
other,Condo for sale,5,6,4089.0,New York,40.7481933,-74.006941,25000000,Pending,Manhattan,0.8333333333333334
other,Co-op for sale,3,2,1400.0,United States,40.5632116,-74.1002521,619888,Contingent,Staten Island,1.5
Brokered by Douglas Elliman - 575 Madison Ave,House for sale,1,1,2184.207862,New York,40.7810446,-73.9519172,680000,Pending,Manhattan,1.0
other,Multi-family home for sale,12,4,2184.207862,United States,40.7063276,-73.9114914,1698000,Pending,Queens,3.0
Brokered by COMPASS,Co-op for sale,3,1,2184.207862,New York,40.7455051,-74.0016003,975000,Pending,Manhattan,3.0
Brokered by Brown Harris Stevens,Townhouse for sale,3,2,2184.207862,United States,40.8274367,-73.9438954,1300000,Pending,Manhattan,1.5
other,Co-op for sale,1,1,2184.207862,New York County,40.7316673,-73.996478,1050000,Pending,Manhattan,1.0
other,Co-op for sale,2,1,1000.0,New York,40.5782062,-73.973315,355000,Pending,Brooklyn,2.0
other,Townhouse for sale,7,5,2184.207862,United States,40.7693076,-73.9621998,6500000,Pending,Manhattan,1.4
Brokered by COMPASS,Condo for sale,3,1,660.0,New York,40.7059312,-74.0093393,595000,Pending,Manhattan,3.0
other,Co-op for sale,2,1,922.0,New York,40.8758111,-73.8765929,220000,Pending,Bronx,2.0
other,House for sale,3,1,1316.0,United States,40.6239146,-73.9291226,595000,Pending,Brooklyn,3.0
other,Co-op for sale,1,1,750.0,New York,40.5781785,-73.9733314,319000,Pending,Brooklyn,1.0
other,Co-op for sale,1,2,1100.0,New York,40.7766673,-73.9439269,825000,Pending,Manhattan,0.5
other,Multi-family home for sale,3,4,2184.207862,United States,40.6463635,-73.9325263,750000,Pending,Brooklyn,0.75
Brokered by COMPASS,Condo for sale,2,2,1000.0,New York,40.5869733,-73.9514755,815000,Pending,Brooklyn,1.0
other,House for sale,3,1,2560.0,United States,40.7300715,-73.9880189,4200000,Pending,Manhattan,3.0
other,Co-op for sale,1,1,650.0,New York,40.7589055,-73.9064463,309999,Pending,Queens,1.0
other,Co-op for sale,6,5,3608.0,United States,40.5812073,-73.8512446,1299999,Pending,Queens,1.2
Brokered by COMPASS,Condo for sale,3,2,1376.0,New York,40.7451522,-73.9927778,1995000,Pending,Manhattan,1.5
Brokered by Brown Harris Stevens,Co-op for sale,3,3,1800.0,New York,40.7590132,-73.9612618,1995000,Pending,Manhattan,1.0
other,Co-op for sale,3,1,2184.207862,New York,40.7631119,-73.9668867,425000,Pending,Manhattan,3.0
other,Co-op for sale,2,1,800.0,United States,40.6662726,-73.8457131,349000,Pending,Queens,2.0
other,Multi-family home for sale,50,50,22035.0,United States,40.6376964,-73.9048363,11000000,Pending,Brooklyn,1.0
other,Land for sale,3,2,2184.207862,United States,40.6444117,-73.9100389,2999950,Pending,Brooklyn,1.5
other,Co-op for sale,1,1,2184.207862,New York,40.7771999,-73.9073699,199000,Pending,Queens,1.0
Brokered by Corcoran Chelsea/Flatiron,Co-op for sale,1,1,700.0,New York,40.776434,-73.9771489,699000,Pending,Manhattan,1.0
other,Townhouse for sale,4,2,1360.0,United States,40.6568189,-73.9795706,2250000,Pending,Brooklyn,2.0
other,Co-op for sale,2,1,2184.207862,New York,40.7284716,-73.8505211,395000,Pending,Queens,2.0
other,House for sale,4,2,1800.0,United States,40.5103369,-74.2424867,1100000,Pending,Staten Island,2.0
other,Co-op for sale,2,2,1050.0,New York,40.5776924,-73.9737314,399000,Pending,Brooklyn,1.0
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,3,3,3000.0,New York,40.7476234,-74.0057263,6750000,Pending,Manhattan,1.0
other,Townhouse for sale,3,2,1728.0,United States,40.7223997,-73.8818876,939000,Pending,Queens,1.5
Brokered by Brown Harris Stevens,Co-op for sale,3,3,995.0,New York,40.8830898,-73.9165737,1195000,Pending,Bronx,1.0
Brokered by COMPASS,Co-op for sale,1,1,2184.207862,New York,40.7661564,-73.9700846,420000,Pending,Manhattan,1.0
other,Multi-family home for sale,12,6,4875.0,United States,40.7042392,-73.9113817,1090000,Pending,Queens,2.0
Brokered by Keller Williams Rlty Landmark,Co-op for sale,4,4,3111.0,United States,40.7800183,-73.7514697,1970000,Pending,Queens,1.0
other,Co-op for sale,4,2,1650.0,United States,40.6333731,-74.122092,625000,Contingent,Staten Island,2.0
Brokered by COMPASS,Condo for sale,3,1,445.0,New York,40.7613979,-73.9746128,60000,Pending,Manhattan,3.0
other,Multi-family home for sale,8,2,2160.0,United States,40.8728082,-73.8469489,899000,Pending,Bronx,4.0
Brokered by COMPASS,Condo for sale,4,4,3704.0,United States,40.70799,-74.0021707,4000000,Pending,Manhattan,1.0
Brokered by RE MAX Edge,House for sale,5,3,1200.0,United States,40.618311,-73.997597,1085000,Pending,Brooklyn,1.6666666666666667
Brokered by COMPASS,Co-op for sale,3,4,2184.207862,New York,40.7526263,-73.9658766,2348000,Pending,Manhattan,0.75
Brokered by Keller Williams NYC,Condo for sale,2,1,766.0,New York,40.8525968,-73.9352912,495000,Pending,Manhattan,2.0
Brokered by COMPASS,Co-op for sale,1,1,2184.207862,New York,40.7389643,-73.9791144,420000,Pending,Manhattan,1.0
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Co-op for sale,3,3,2184.207862,New York,40.7888952,-73.9545865,3375000,Pending,Manhattan,1.0
Brokered by COMPASS,Townhouse for sale,5,4,3344.0,United States,40.7363219,-74.0018035,12950000,Pending,Manhattan,1.25
Brokered by COMPASS,Co-op for sale,3,2,1120.0,New York,40.8501059,-73.9387857,839000,Pending,Manhattan,1.5
other,Co-op for sale,3,5,2532.0,10310,40.6360373,-74.1236718,984900,Contingent,Staten Island,0.6
other,House for sale,4,2,2184.207862,United States,40.5790771,-73.9425262,2150000,Pending,Brooklyn,2.0
other,Co-op for sale,2,2,2184.207862,New York,40.6965907,-73.9926789,1775000,Pending,Brooklyn,1.0
other,House for sale,3,2,1400.0,United States,40.7537084,-73.8542469,825000,Pending,Queens,1.5
other,House for sale,3,2,1260.0,United States,40.5792491,-73.8470867,999000,Pending,Staten Island,1.5
other,House for sale,5,2,2184.207862,United States,40.593404,-73.775651,299000,Pending,Queens,2.5
other,Co-op for sale,1,1,700.0,New York,40.7547282,-73.8859706,299000,Pending,Queens,1.0
Brokered by Keller Williams Rlty Landmark,House for sale,3,1,2184.207862,United States,40.7220377,-73.8936918,1500000,Pending,Queens,3.0
Brokered by E Realty International Corp,Condo for sale,1,1,2184.207862,New York,40.8121684,-73.9523535,649000,Pending,Manhattan,1.0
other,House for sale,4,2,1120.0,United States,40.5694974,-74.1237437,649000,Pending,Staten Island,2.0
Brokered by Serhant,Condo for sale,5,6,4544.0,New York,40.692916,-74.0008815,10800000,Pending,Brooklyn,0.8333333333333334
other,Condo for sale,1,2,1427.0,New York,40.7613258,-73.9774014,2400000,Pending,Manhattan,0.5
Brokered by Winzone Realty Inc,Multi-family home for sale,5,2,1520.0,United States,40.7587767,-73.7908877,1499000,Pending,Queens,2.5
other,House for sale,2,2,896.0,United States,40.7452362,-73.7204545,650000,Pending,Queens,1.0
other,Multi-family home for sale,7,3,1980.0,United States,40.6275175,-74.1233766,899000,Pending,Staten Island,2.3333333333333335
other,Co-op for sale,2,1,2184.207862,New York,40.7312799,-73.8192399,419000,Pending,Queens,2.0
Brokered by Douglas Elliman - 575 Madison Ave,House for sale,11,10,24000.0,United States,40.7616,-73.9761913,56000000,Pending,Manhattan,1.1
other,Co-op for sale,2,2,1350.0,New York,40.8938465,-73.9091368,375000,Pending,Bronx,1.0
other,Multi-family home for sale,8,6,3472.0,United States,40.7189686,-73.8626041,1600000,Pending,Queens,1.3333333333333333
Brokered by Sotheby's International Realty - Downtown Manhattan,Townhouse for sale,4,2,2160.0,United States,40.7750748,-73.9496097,3850000,Pending,Manhattan,2.0
other,Multi-family home for sale,5,4,2184.207862,United States,40.6741308,-73.8908415,888000,Pending,Brooklyn,1.25
Brokered by Serhant,Condo for sale,2,2,1875.0,New York,40.7194435,-74.0081022,3345000,Pending,Manhattan,1.0
other,Townhouse for sale,6,6,5232.0,United States,40.7863645,-73.9735331,6495000,Pending,Manhattan,1.0
other,Co-op for sale,2,1,700.0,New York,40.7751901,-73.9090015,270000,Pending,Queens,2.0
other,Multi-family home for sale,9,6,3519.0,United States,40.583514,-73.9738903,1499000,Pending,Brooklyn,1.5
other,House for sale,4,4,3149.0,United States,40.5900537,-74.0906619,1399900,Pending,Staten Island,1.0
Brokered by Brown Harris Stevens,Townhouse for sale,4,3,2184.207862,United States,40.9083747,-73.8985781,900000,Pending,Bronx,1.3333333333333333
other,Multi-family home for sale,5,3,2184.207862,United States,40.7313782,-73.8848912,1150000,Pending,Queens,1.6666666666666667
other,Multi-family home for sale,9,5,5500.0,United States,40.8754624,-73.8807502,1699000,Pending,Bronx,1.8
other,House for sale,3,2,1008.0,United States,40.621814,-74.1406264,689999,Pending,Staten Island,1.5
other,Condo for sale,1,1,1022.0,New York,40.6275896,-74.0016198,640000,Pending,Brooklyn,1.0
other,House for sale,5,3,2488.0,United States,40.5786214,-73.9515728,1699000,Pending,Brooklyn,1.6666666666666667
other,Co-op for sale,2,2,1250.0,New York,40.7487581,-73.9782786,1075000,Pending,Manhattan,1.0
other,Condo for sale,3,4,2357.0,New York,40.7242197,-74.0056368,5700000,Pending,Manhattan,0.75
other,Multi-family home for sale,14,8,6000.0,United States,40.8485623,-73.8574586,1375000,Pending,Bronx,1.75
other,Condo for sale,2,2,2184.207862,United States,40.7510826,-73.8738365,580000,Pending,Queens,1.0
other,Condo for sale,1,1,577.0,New York,40.6373585,-74.0272224,399000,Pending,Brooklyn,1.0
other,Co-op for sale,1,1,2184.207862,New York,40.8455961,-73.8264218,167999,Pending,Bronx,1.0
other,Co-op for sale,1,1,670.0,United States,40.5791767,-74.1623976,335900,Contingent,Staten Island,1.0
other,Co-op for sale,2,2,2184.207862,New York,40.7535399,-73.8868899,800000,Pending,Queens,1.0
other,Condo for sale,2,2,2184.207862,New York,40.7046248,-73.8349003,668000,Pending,Queens,1.0
other,Co-op for sale,1,1,2184.207862,New York,40.7864852,-73.8017612,225000,Pending,Queens,1.0
other,House for sale,3,2,1633.0,United States,40.5910792,-74.0801059,758800,Pending,Staten Island,1.5
other,Multi-family home for sale,12,8,5100.0,United States,40.5745179,-74.0068304,1998000,Pending,Brooklyn,1.5
other,Condo for sale,1,2,1218.0,New York,40.7115725,-73.948677,1500000,Pending,Brooklyn,0.5
other,Condo for sale,3,1,485.0,New York,40.590145,-73.9499887,269000,Pending,Brooklyn,3.0
Brokered by Winzone Realty Inc,Condo for sale,2,2,1190.0,New York,40.7885879,-73.7872455,798000,Pending,Queens,1.0
other,Multi-family home for sale,7,4,3570.0,United States,40.7221698,-73.9011088,1499000,Pending,Queens,1.75
other,Multi-family home for sale,5,4,2184.207862,United States,40.6925254,-73.9260278,1895000,Pending,Brooklyn,1.25
other,Condo for sale,3,4,2184.207862,New York,40.7745073,-73.981428,7995000,Pending,Manhattan,0.75
other,Condo for sale,2,2,2184.207862,New York,40.7517561,-73.8344347,599000,Pending,Queens,1.0
Brokered by Corcoran East Side,Condo for sale,3,3,1315.0,New York,40.7791164,-73.9482901,2150000,Pending,Manhattan,1.0
Brokered by Keller Williams Rlty Landmark,House for sale,5,2,3800.0,United States,40.7782443,-73.7706926,2998888,Pending,Queens,2.5
other,House for sale,2,1,992.0,United States,40.8960621,-73.8441692,499000,Pending,Bronx,2.0
other,Townhouse for sale,3,2,1677.0,New York,40.6280768,-74.1576108,549999,Pending,Staten Island,1.5
other,Co-op for sale,2,1,1100.0,New York,40.6068092,-73.9590334,265000,Pending,Brooklyn,2.0
Brokered by Douglas Elliman  -111 Fifth Ave,Condo for sale,2,2,1400.0,New York County,40.761255,-73.9744834,315000,Pending,Manhattan,1.0
Brokered by COMPASS,Co-op for sale,2,1,2184.207862,New York,40.8101633,-73.9387972,315000,Pending,Manhattan,2.0
Brokered by COMPASS,Townhouse for sale,1,2,4930.0,United States,40.7168184,-74.0085588,7250000,Pending,Manhattan,0.5
Brokered by COMPASS,Co-op for sale,2,1,940.0,New York,40.7691866,-73.9544795,899000,Pending,Manhattan,2.0
other,Multi-family home for sale,40,20,15500.0,United States,40.7514679,-73.8726192,5980000,Pending,Queens,2.0
Brokered by Sotheby's International Realty - Downtown Manhattan,Condo for sale,2,2,2522.0,New York,40.7242452,-74.0008671,5000000,Pending,Manhattan,1.0
other,House for sale,3,1,1683.0,United States,40.6249039,-74.0253417,1049000,Pending,Brooklyn,3.0
other,Co-op for sale,3,2,1400.0,New York,40.7047878,-73.8344551,439500,Pending,Queens,1.5
other,Multi-family home for sale,8,4,3321.0,United States,40.8307543,-73.8757325,1180000,Pending,Bronx,2.0
Brokered by COMPASS,Condo for sale,3,2,1597.0,New York,40.6163434,-74.0377889,1325000,Pending,Brooklyn,1.5
other,House for sale,5,4,1928.0,United States,40.5999698,-73.7455103,1475000,Pending,Queens,1.25
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Co-op for sale,5,2,2184.207862,New York,40.768301,-73.9697336,45000000,Pending,Manhattan,2.5
Brokered by COMPASS,Co-op for sale,2,2,2184.207862,New York,40.7324629,-73.9972883,2350000,Pending,Manhattan,1.0
Brokered by Keller Williams Rlty Landmark,Multi-family home for sale,4,2,2184.207862,United States,40.6382091,-73.9325492,789000,Pending,Brooklyn,2.0
Brokered by COMPASS,Condo for sale,1,2,920.0,New York,40.7645034,-73.9648503,1375000,Pending,Manhattan,0.5
other,Co-op for sale,2,1,1000.0,New York,40.7759205,-73.9861034,950000,Pending,Manhattan,2.0
Brokered by KELLER WILLIAMS REALTY LANDMARK II,Multi-family home for sale,5,3,1920.0,United States,40.6512263,-74.0131317,1275000,Pending,Brooklyn,1.6666666666666667
other,Multi-family home for sale,11,6,2240.0,United States,40.6941915,-73.913053,1359000,Pending,Brooklyn,1.8333333333333333
other,Townhouse for sale,4,5,4187.0,United States,40.6894191,-73.9977098,6995000,Pending,Brooklyn,0.8
other,Co-op for sale,2,1,2184.207862,United States,40.7272034,-73.8471901,499000,Pending,Queens,2.0
other,Co-op for sale,1,1,660.0,New York,40.7376662,-73.8566546,205000,Pending,Queens,1.0
other,House for sale,3,2,1400.0,United States,40.5856655,-73.9472452,975000,Pending,Brooklyn,1.5
other,Multi-family home for sale,6,2,2310.0,United States,40.8244358,-73.8633737,650000,Pending,Bronx,3.0
Brokered by Corcoran East Side,Co-op for sale,3,1,2184.207862,New York,40.7558223,-73.9655138,370000,Pending,Manhattan,3.0
other,Multi-family home for sale,3,2,2184.207862,United States,40.7392278,-73.8677036,999999,Pending,Queens,1.5
other,House for sale,2,2,1148.0,United States,40.6658988,-73.9124097,549000,Pending,Brooklyn,1.0
Brokered by Corcoran Park Avenue South,Condo for sale,1,2,890.0,New York,40.7598542,-73.9874427,1100000,Pending,Manhattan,0.5
other,House for sale,4,4,3150.0,United States,40.5308796,-74.1913113,1139000,Pending,Staten Island,1.0
Brokered by E Realty International Corp,Condo for sale,3,2,706.0,New York,40.7118928,-73.9940945,838000,Pending,Manhattan,1.5
other,Condo for sale,4,4,3310.0,New York County,40.7405179,-73.9881093,16995000,Pending,Manhattan,1.0
other,Multi-family home for sale,5,3,3024.0,United States,40.8770223,-73.8585612,850000,Pending,Bronx,1.6666666666666667
Brokered by RE MAX Edge,Co-op for sale,3,1,550.0,New York,40.621071,-73.969227,219000,Pending,Brooklyn,3.0
other,Multi-family home for sale,6,4,2184.207862,United States,40.7635384,-73.8628798,1325000,Pending,Queens,1.5
other,House for sale,3,2,2000.0,United States,40.6995553,-73.7527095,649000,Pending,Queens,1.5
other,Co-op for sale,1,1,850.0,Bronx County,40.8858375,-73.9088586,235000,Pending,Bronx,1.0
other,Co-op for sale,3,1,1050.0,New York,40.749516,-73.8822296,639000,Pending,Queens,3.0
Brokered by COMPASS,Co-op for sale,2,1,2184.207862,New York,40.7669715,-73.9674377,895000,Pending,Manhattan,2.0
other,Co-op for sale,3,1,2184.207862,New York,40.7877526,-73.9547413,489000,Pending,Manhattan,3.0
Brokered by Corcoran East Side,Multi-family home for sale,7,8,2184.207862,United States,40.734814,-73.996305,10000000,Pending,Manhattan,0.875
other,Co-op for sale,2,2,1500.0,New York,40.7568337,-73.715194,649000,Pending,Queens,1.0
other,House for sale,6,6,3600.0,United States,40.6824096,-73.9820791,2795000,Pending,Brooklyn,1.0
other,Co-op for sale,3,2,1242.0,United States,40.5831679,-74.0887805,748800,Contingent,Staten Island,1.5
other,House for sale,3,2,1150.0,United States,40.5302132,-74.1981906,729900,Pending,Staten Island,1.5
other,Multi-family home for sale,6,4,3240.0,11237,40.7070524,-73.9232543,2200000,Pending,Brooklyn,1.5
other,House for sale,3,2,2184.207862,United States,40.71593,-73.8858453,800000,Pending,Queens,1.5
Brokered by COMPASS,Co-op for sale,1,1,2184.207862,New York,40.743373,-73.983626,865000,Pending,Manhattan,1.0
Brokered by COMPASS,Condo for sale,2,2,1488.0,New York,40.7155919,-73.9912903,2750000,Pending,Manhattan,1.0
Brokered by Brown Harris Stevens,Co-op for sale,1,1,2184.207862,New York,40.8544444,-73.9377977,329000,Pending,Manhattan,1.0
Brokered by E Realty International Corp,Condo for sale,2,2,800.0,New York,40.7427705,-73.8727516,725000,Pending,Queens,1.0
other,House for sale,3,2,1272.0,United States,40.6111849,-74.0753235,599999,Pending,Staten Island,1.5
other,Co-op for sale,1,1,2184.207862,New York,40.7282586,-73.8513251,399000,Pending,Queens,1.0
Brokered by EXP Realty,Co-op for sale,1,1,2184.207862,United States,40.7272034,-73.8471901,269000,Pending,Queens,1.0
other,Co-op for sale,1,1,750.0,New York,40.7326518,-73.8546547,249000,Pending,Queens,1.0
other,Co-op for sale,1,1,2184.207862,New York,40.8531021,-73.8636237,169500,Pending,Bronx,1.0
Brokered by Brown Harris Stevens,Co-op for sale,3,1,2184.207862,New York,40.7257358,-74.0017575,435000,Pending,Manhattan,3.0
Brokered by Douglas Elliman - 575 Madison Ave,Condo for sale,2,2,1066.0,New York,40.7200818,-73.9473654,1350000,Pending,Brooklyn,1.0
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Townhouse for sale,7,8,5000.0,United States,40.7345979,-74.0029107,8750000,Pending,Manhattan,0.875
other,House for sale,3,2,2184.207862,United States,40.6695084,-73.8779921,285000,Pending,Brooklyn,1.5
other,Townhouse for sale,14,7,6375.0,United States,40.8426571,-73.8884167,1500000,Pending,Bronx,2.0
other,Co-op for sale,3,1,2184.207862,New York,40.7104509,-73.7982064,129000,Pending,Queens,3.0
other,Co-op for sale,2,1,1188.0,United States,40.5019991,-74.2372284,459000,Contingent,Staten Island,2.0
Brokered by Winzone Realty Inc,Co-op for sale,3,2,1405.0,United States,40.7381853,-73.8581248,425000,Pending,Queens,1.5
Brokered by COMPASS,Co-op for sale,2,1,2184.207862,New York,40.6657959,-73.9527658,694000,Pending,Brooklyn,2.0
other,Condo for sale,3,2,877.0,New York,40.7019793,-73.8942094,575000,Pending,Queens,1.5
other,Condo for sale,2,2,1334.0,United States,40.6819719,-73.9903277,2250000,Pending,Brooklyn,1.0
Brokered by COMPASS,Townhouse for sale,10,10,8000.0,United States,40.7369927,-73.9868876,9950000,Pending,Manhattan,1.0
other,Condo for sale,2,2,936.0,New York,40.8236857,-73.8611313,320000,Pending,Bronx,1.0
Brokered by COMPASS,Co-op for sale,2,1,2184.207862,New York,40.7540096,-73.9637466,945000,Pending,Manhattan,2.0
other,House for sale,2,1,666.0,United States,40.5724498,-74.0909716,395000,Pending,Staten Island,2.0
Brokered by Keller Williams NYC,Condo for sale,1,1,514.0,New York,40.6660348,-73.9612418,355000,Pending,Brooklyn,1.0
Brokered by COMPASS,Co-op for sale,5,4,4400.0,United States,40.6832052,-73.9491758,2500000,Pending,Brooklyn,1.25
other,House for sale,6,5,6300.0,United States,40.5462525,-74.1481727,2750000,Pending,Staten Island,1.2
Brokered by COMPASS,Co-op for sale,2,1,940.0,New York,40.7691866,-73.9544795,899000,Pending,Manhattan,2.0
other,Co-op for sale,2,2,2184.207862,New York,40.7223099,-73.84153,560000,Pending,Queens,1.0
other,Co-op for sale,2,1,2184.207862,New York,40.7052273,-73.8336358,349000,Pending,Queens,2.0
Brokered by RE MAX Edge,Multi-family home for sale,11,6,2184.207862,United States,40.6186409,-73.9389327,998000,Pending,Brooklyn,1.8333333333333333
Brokered by RE MAX Edge,Co-op for sale,3,1,650.0,New York,40.6449836,-73.9738362,199000,Pending,Brooklyn,3.0
other,Multi-family home for sale,4,2,2217.0,United States,40.6405612,-73.9333874,849999,Pending,Brooklyn,2.0
other,House for sale,3,2,1248.0,United States,40.6137764,-74.1600305,689000,Pending,Staten Island,1.5
other,Multi-family home for sale,3,2,2184.207862,United States,40.757489,-73.9116062,1095000,Pending,Queens,1.5
other,Multi-family home for sale,30,20,18400.0,United States,40.6351799,-73.9646138,3500000,Pending,Brooklyn,1.5
other,Co-op for sale,3,2,1600.0,United States,40.7813792,-73.9554399,750000,Pending,Manhattan,1.5
Brokered by COMPASS,House for sale,3,2,2100.0,New York,40.643712,-73.976793,1759000,Pending,Brooklyn,1.5
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Co-op for sale,1,2,2184.207862,New York,40.769824,-73.9571759,1195000,Pending,Manhattan,0.5
Brokered by RE MAX Edge,Co-op for sale,1,1,920.0,New York,40.614285,-74.0315729,375000,Pending,Brooklyn,1.0
other,Co-op for sale,3,2,1288.0,United States,40.6166867,-74.1576647,499000,Contingent,Staten Island,1.5
Brokered by COMPASS,Co-op for sale,2,1,2184.207862,New York,40.7689684,-73.9543121,940000,Pending,Manhattan,2.0
Brokered by COMPASS,Townhouse for sale,5,2,4065.0,United States,40.7463287,-74.0034571,6999500,Pending,Manhattan,2.5
Brokered by Corcoran Brooklyn Heights,Multi-family home for sale,6,5,2184.207862,United States,40.6842265,-73.9145419,1399995,Pending,Brooklyn,1.2
Brokered by Corcoran Park Slope,Co-op for sale,3,3,2184.207862,United States,40.6330746,-73.9014669,709000,Pending,Brooklyn,1.0
Brokered by COMPASS,Co-op for sale,2,2,2184.207862,New York,40.7824047,-73.979261,895000,Pending,Manhattan,1.0
Brokered by EXP Realty,House for sale,3,2,760.0,United States,40.7392555,-73.8523054,798000,Pending,Queens,1.5
other,Multi-family home for sale,6,5,2184.207862,United States,40.7472951,-73.8164494,2280000,Pending,Queens,1.2
other,Co-op for sale,1,1,800.0,New York,40.743059,-73.880983,328000,Pending,Queens,1.0
other,Condo for sale,2,2,2184.207862,New York,40.7550154,-73.8329807,609000,Pending,Queens,1.0
other,Multi-family home for sale,5,3,2184.207862,United States,40.728555,-73.8780858,1350000,Pending,Queens,1.6666666666666667
other,House for sale,3,2,1675.0,United States,40.8611137,-73.8439969,840000,Pending,Bronx,1.5
Brokered by RE MAX Edge,Multi-family home for sale,7,3,2400.0,United States,40.649911,-74.007989,1449000,Pending,Brooklyn,2.3333333333333335
other,Co-op for sale,1,1,2184.207862,New York,40.6661012,-73.8471882,169999,Pending,Queens,1.0
other,Multi-family home for sale,5,4,3773.0,United States,40.5461245,-74.1826661,1599999,Pending,Staten Island,1.25
other,House for sale,3,2,1400.0,United States,40.8464353,-73.8358298,620000,Pending,Bronx,1.5
Brokered by COMPASS,Townhouse for sale,6,4,5854.0,United States,40.6777386,-73.9939495,4000000,Pending,Brooklyn,1.5
Brokered by Serhant,Co-op for sale,3,1,2184.207862,New York,40.7738633,-73.9465735,399000,Pending,Manhattan,3.0
other,House for sale,4,2,2185.0,United States,40.6215947,-74.1404429,899888,Pending,Staten Island,2.0
Brokered by Corcoran Chelsea/Flatiron,Condo for sale,1,1,600.0,New York,40.7389431,-74.0012691,1195000,Pending,Manhattan,1.0
other,Condo for sale,1,1,2184.207862,New York,40.7533335,-73.8324518,658000,Pending,Queens,1.0
other,House for sale,4,4,2400.0,United States,40.5657552,-74.1051158,989000,Pending,Staten Island,1.0
other,Condo for sale,3,2,1890.0,United States,40.55065,-74.193355,728000,Pending,Staten Island,1.5
other,Co-op for sale,3,2,1870.0,United States,40.541476,-74.174618,699888,Contingent,Staten Island,1.5
other,Multi-family home for sale,5,4,2184.207862,United States,40.6925254,-73.9260278,1895000,Pending,Brooklyn,1.25
other,Co-op for sale,1,1,2184.207862,New York,40.7669715,-73.9674377,625000,Pending,Manhattan,1.0
other,Co-op for sale,2,2,1238.0,United States,40.5493207,-74.1744217,565000,Pending,Staten Island,1.0
other,Condo for sale,3,3,2130.0,New York,40.7500989,-73.9838104,4880000,Pending,Manhattan,1.0
other,Co-op for sale,2,1,2184.207862,New York,40.6779049,-73.733881,199900,Pending,Queens,2.0
other,Co-op for sale,1,1,2184.207862,United States,40.7220791,-73.8436959,299000,Pending,Queens,1.0
other,Multi-family home for sale,6,3,2184.207862,United States,40.711017,-73.8723608,1199000,Pending,Queens,2.0
Brokered by Douglas Elliman - 575 Madison Ave,Co-op for sale,1,1,2184.207862,United States,40.7458817,-74.0033976,1275000,Pending,Manhattan,1.0
other,Co-op for sale,1,1,2184.207862,New York,40.748924,-73.8857529,284888,Pending,Queens,1.0
other,House for sale,3,2,2184.207862,United States,40.714999,-73.878128,879000,Pending,Queens,1.5
other,House for sale,4,2,2184.207862,United States,40.5783044,-73.9471644,1199000,Pending,Brooklyn,2.0
other,Co-op for sale,4,3,2184.207862,New York,40.7822029,-73.959633,4050000,Pending,Manhattan,1.3333333333333333
other,House for sale,6,4,2184.207862,United States,40.7171982,-73.8496941,2299000,Pending,Queens,1.5
other,Condo for sale,3,2,923.0,New York,40.6863077,-73.9709274,610000,Pending,Brooklyn,1.5
other,House for sale,6,2,1596.0,United States,40.7681033,-73.8107752,1375000,Pending,Queens,3.0
other,House for sale,3,2,1480.0,United States,40.5939378,-74.1843153,519000,Pending,Staten Island,1.5
other,House for sale,12,4,2184.207862,United States,40.6887595,-73.9184086,1400000,Pending,Brooklyn,3.0
Brokered by COMPASS,Co-op for sale,1,1,2184.207862,United States,40.7278952,-73.9998294,449500,Pending,Manhattan,1.0
Brokered by Corcoran Brooklyn Heights,Condo for sale,2,2,732.0,New York,40.6996109,-73.9302507,750000,Pending,Brooklyn,1.0
